Order ID,Order Name,Order Date,Quantity,Rating,Price,Total Price
1000,Caramel Macchiato,03/08/2019 20:25,9,"1,96","Rp21.142,00","Rp190.278,00"
1001,Caffe Americano,03/08/2019 20:25,5,"3,57","Rp16.142,00","Rp80.710,00"
1002,Freshly Brewed Coffee,03/08/2019 20:25,2,"3,51","Rp15.424,00","Rp30.848,00"
1003,Ice Shaken Lemon Tea,03/08/2019 20:25,9,"5,87","Rp29.954,00","Rp269.586,00"
1004,Green Tea Latte,03/08/2019 20:25,3,"2,75","Rp28.712,00","Rp86.136,00"
1005,Banana Split Frappuccino,03/08/2019 20:25,6,"1,37","Rp15.543,00","Rp93.258,00"
1006,Christmas Cookie Frappucino,03/08/2019 20:17,2,"2,77","Rp23.814,00","Rp47.628,00"
1007,Ice Shaken Lemon Tea,03/08/2019 20:17,6,"1,87","Rp18.012,00","Rp108.072,00"
1008,Peach Ring Tea,03/08/2019 20:17,10,"1,35","Rp31.407,00","Rp314.070,00"
1009,Orange Creamsicle Frappuccino,03/08/2019 20:17,9,"5,17","Rp15.466,00","Rp139.194,00"
1010,Purple Drink,03/08/2019 20:17,5,"4,50","Rp10.496,00","Rp52.480,00"
1011,Milk Tea,03/08/2019 20:17,8,"4,35","Rp24.504,00","Rp196.032,00"
1012,Fruit Tea,03/08/2019 20:17,7,"2,95","Rp12.335,00","Rp86.345,00"
1013,Strawberry Milkshake,03/08/2019 20:09,1,"5,18","Rp10.215,00","Rp10.215,00"
1014,Taro Milk Tea,03/08/2019 20:09,7,"4,94","Rp20.536,00","Rp143.752,00"
1015,English Rose Tea,03/08/2019 20:09,7,"2,65","Rp28.014,00","Rp196.098,00"
1016,Indonesian Jamine Tea,03/08/2019 20:09,3,"1,92","Rp18.979,00","Rp56.937,00"
1017,Orange Juice,03/08/2019 20:09,5,"3,58","Rp12.319,00","Rp61.595,00"
1018,Taro Milk Tea,03/08/2019 20:01,2,"4,27","Rp25.205,00","Rp50.410,00"
1019,Caramel Macchiato,03/08/2019 20:01,2,"4,97","Rp22.792,00","Rp45.584,00"
1020,Banana Split Frappuccino,03/08/2019 20:01,2,"2,20","Rp16.899,00","Rp33.798,00"
1021,Banana Smoothie,03/08/2019 20:01,10,"2,79","Rp12.557,00","Rp125.570,00"
1022,Soft Drink,03/08/2019 20:01,2,"2,25","Rp21.877,00","Rp43.754,00"
1023,Cappuccino Grass Jelly,03/08/2019 20:01,3,"5,14","Rp25.617,00","Rp76.851,00"
1024,Japanese Ocha,03/08/2019 20:01,5,"5,62","Rp20.793,00","Rp103.965,00"
1025,French Vanilla Tea,03/08/2019 19:44,5,"2,74","Rp30.609,00","Rp153.045,00"
1026,Sour Plum Tea,03/08/2019 19:44,6,"1,92","Rp25.064,00","Rp150.384,00"
1027,Matcha Milk Tea,03/08/2019 19:42,4,"2,01","Rp16.546,00","Rp66.184,00"
